,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,AR,0,6,0.0,6,6,6,05,,,,,,,,,,,,,,
1,20200307,AR,0,6,0.0,6,6,6,05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,20200308,AR,0,6,0.0,6,6,6,05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,20200309,AR,0,12,0.0,12,12,12,05,0.0,0.0,6.0,0.0,6.0,,,,,,,,,
4,20200310,AR,0,12,3.0,15,12,12,05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,20200311,AR,0,12,14.0,26,12,12,05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,20200312,AR,6,24,20.0,50,30,30,05,0.0,0.0,12.0,6.0,18.0,,,,,,,,,
7,20200313,AR,9,30,22.0,61,39,39,05,0.0,0.0,6.0,3.0,9.0,,,,,,,,,
8,20200314,AR,12,65,26.0,103,77,77,05,0.0,0.0,35.0,3.0,38.0,,,,,,,,,
9,20200315,AR,16,103,30.0,149,119,119,05,0.0,0.0,38.0,4.0,42.0,,,,,,,,,
10,20200316,AR,22,132,14.0,168,154,154,05,0.0,0.0,29.0,6.0,35.0,,,,,,,,,
11,20200317,AR,22,197,41.0,260,219,219,05,0.0,0.0,65.0,0.0,65.0,,,,,,,,,
12,20200318,AR,33,236,50.0,319,269,269,05,0.0,0.0,39.0,11.0,50.0,,,,,,,,,
13,20200319,AR,46,310,113.0,469,356,356,05,0.0,0.0,74.0,13.0,87.0,,,,,,,,,
14,20200320,AR,96,351,203.0,650,447,447,05,0.0,0.0,41.0,50.0,91.0,,,,,,,,,
15,20200321,AR,118,567,154.0,839,685,685,05,0.0,0.0,216.0,22.0,238.0,,,,,,,,,
16,20200322,AR,165,711,119.0,995,876,876,05,0.0,0.0,144.0,47.0,191.0,13.0,,,,,,,0.0,
17,20200323,AR,174,906,,1080,1080,1080,05,0.0,0.0,195.0,9.0,204.0,13.0,,,,,,,0.0,
18,20200324,AR,218,947,,1165,1165,1165,05,0.0,0.0,41.0,44.0,85.0,22.0,,,,,,,0.0,
19,20200325,AR,280,1437,,1717,1717,1717,05,2.0,0.0,490.0,62.0,552.0,22.0,,,,4.0,,11.0,2.0,
20,20200326,AR,335,1504,,1839,1839,1839,05,1.0,0.0,67.0,55.0,122.0,41.0,,,,13.0,,13.0,3.0,
21,20200327,AR,381,1545,,1926,1926,1926,05,0.0,0.0,41.0,46.0,87.0,48.0,,,,17.0,,19.0,3.0,
22,20200328,AR,404,2938,,3342,3342,3342,05,2.0,0.0,1393.0,23.0,1416.0,48.0,,,,17.0,,24.0,5.0,
23,20200329,AR,426,3027,,3453,3453,3453,05,1.0,0.0,89.0,22.0,111.0,43.0,,,,16.0,,28.0,6.0,
24,20200330,AR,473,5262,,5735,5735,5735,05,1.0,0.0,2235.0,47.0,2282.0,62.0,,,,21.0,,29.0,7.0,
25,20200331,AR,523,5959,,6482,6482,6482,05,1.0,0.0,697.0,50.0,747.0,64.0,,,,23.0,,35.0,8.0,
26,20200401,AR,584,7354,,7938,7938,7938,05,2.0,90.0,1395.0,61.0,1456.0,56.0,90.0,,,25.0,32.0,42.0,10.0,90.0
27,20200402,AR,643,7880,,8523,8523,8523,05,2.0,10.0,526.0,59.0,585.0,66.0,100.0,,,23.0,32.0,47.0,12.0,100.0
28,20200403,AR,704,8995,,9699,9699,9699,05,0.0,5.0,1115.0,61.0,1176.0,71.0,105.0,,,26.0,39.0,60.0,12.0,105.0
29,20200404,AR,743,9627,,10370,10370,10370,05,2.0,1.0,632.0,39.0,671.0,72.0,106.0,,,23.0,39.0,79.0,14.0,106.0
30,20200405,AR,830,10412,,11242,11242,11242,05,2.0,24.0,785.0,87.0,872.0,67.0,130.0,,,27.0,39.0,97.0,16.0,130.0
31,20200406,AR,875,11970,,12845,12845,12845,05,0.0,7.0,1558.0,45.0,1603.0,74.0,137.0,,,22.0,39.0,102.0,16.0,137.0
32,20200407,AR,946,12692,,13638,13638,13638,05,0.0,11.0,722.0,71.0,793.0,74.0,148.0,,,26.0,43.0,142.0,16.0,148.0
33,20200408,AR,1000,13530,,14530,14530,14530,05,2.0,-18.0,838.0,54.0,892.0,76.0,130.0,,43.0,30.0,39.0,208.0,18.0,130.0
34,20200409,AR,1119,13832,,14951,14951,14951,05,3.0,0.0,302.0,119.0,421.0,73.0,130.0,,43.0,31.0,39.0,288.0,21.0,130.0
35,20200410,AR,1171,15949,,17120,17120,17120,05,2.0,0.0,2117.0,52.0,2169.0,86.0,130.0,,43.0,33.0,39.0,312.0,23.0,130.0
36,20200411,AR,1226,17352,,18578,18578,18578,05,1.0,0.0,1403.0,55.0,1458.0,86.0,130.0,,43.0,33.0,39.0,340.0,24.0,130.0
