,date,state,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg
0,20200316,AS,60,,,,,,,,,,,,,,,,,,,,
1,20200317,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2,20200318,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
3,20200319,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
4,20200320,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
5,20200321,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
6,20200322,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
7,20200323,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
8,20200324,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
9,20200325,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
10,20200326,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
11,20200327,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
12,20200328,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
13,20200329,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
14,20200330,AS,60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0
15,20200331,AS,60,0.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
16,20200401,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
17,20200402,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
18,20200403,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
19,20200404,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
20,20200405,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
21,20200406,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
22,20200407,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
23,20200408,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
24,20200409,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
25,20200410,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,,5.0,3.0,3.0
26,20200411,AS,60,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,,,5.0,3.0,3.0
