,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,CA,53,462,515,515,515,06,,,,,,,,,,,,,,,
1,20200305,CA,53,462,515,515,515,06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,20200306,CA,60,462,522,522,522,06,0.0,0.0,0.0,7.0,7.0,,,,,,,,,,
3,20200307,CA,69,462,531,531,531,06,0.0,0.0,0.0,9.0,9.0,,,,,,,,,,
4,20200308,CA,88,462,550,550,550,06,0.0,0.0,0.0,19.0,19.0,,,,,,,,,,
5,20200309,CA,114,690,804,804,804,06,0.0,0.0,228.0,26.0,254.0,,,,,,,,,,
6,20200310,CA,133,690,823,823,823,06,0.0,0.0,0.0,19.0,19.0,,,,,,,,,,
7,20200311,CA,157,916,1073,1073,1073,06,0.0,0.0,226.0,24.0,250.0,,,,,,,,,,
8,20200312,CA,202,916,1118,1118,1118,06,4.0,0.0,0.0,45.0,45.0,,,,,,,,,4.0,
9,20200313,CA,202,916,1118,1118,1118,06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,
10,20200314,CA,252,916,1168,1168,1168,06,1.0,0.0,0.0,50.0,50.0,,,,,,,,,5.0,
11,20200315,CA,293,916,1209,1209,1209,06,0.0,0.0,0.0,41.0,41.0,,,,,,,,,5.0,
12,20200316,CA,335,7981,8316,8316,8316,06,1.0,0.0,7065.0,42.0,7107.0,,,,,,,,,6.0,
13,20200317,CA,483,7981,8464,8464,8464,06,5.0,0.0,0.0,148.0,148.0,,,,,,,,,11.0,
14,20200318,CA,611,7981,8592,8592,8592,06,2.0,0.0,0.0,128.0,128.0,,,,,,,,,13.0,
15,20200319,CA,924,8787,9711,9711,9711,06,5.0,0.0,806.0,313.0,1119.0,,,,,,,,,18.0,
16,20200320,CA,1063,10424,11487,11487,11487,06,2.0,0.0,1637.0,139.0,1776.0,,,,,,,,,20.0,
17,20200321,CA,1279,11249,12528,12528,12528,06,4.0,0.0,825.0,216.0,1041.0,,,,,,,,,24.0,
18,20200322,CA,1536,11304,12840,12840,12840,06,3.0,0.0,55.0,257.0,312.0,,,,,,,,,27.0,
19,20200323,CA,1733,12567,26400,14300,14300,06,0.0,0.0,1263.0,197.0,1460.0,12100.0,,,,,,,,27.0,
20,20200324,CA,2102,13452,27654,15554,15554,06,13.0,0.0,885.0,369.0,1254.0,12100.0,,,,,,,,40.0,
21,20200325,CA,2355,15921,66876,18276,18276,06,13.0,0.0,2469.0,253.0,2722.0,48600.0,,,,,,,,53.0,
22,20200326,CA,3006,17380,77786,20386,20386,06,12.0,0.0,1459.0,651.0,2110.0,57400.0,,,,,,,,65.0,
23,20200327,CA,3879,17380,78659,21259,21259,06,13.0,0.0,0.0,873.0,873.0,57400.0,746.0,,200.0,,,,,78.0,
24,20200328,CA,4643,20549,89592,25192,25192,06,23.0,0.0,3169.0,764.0,3933.0,64400.0,1034.0,,410.0,,,,,101.0,
25,20200329,CA,5708,20549,90657,26257,26257,06,22.0,0.0,0.0,1065.0,1065.0,64400.0,1034.0,,410.0,,,,,123.0,
26,20200330,CA,6447,20549,91396,26996,26996,06,10.0,0.0,0.0,739.0,739.0,64400.0,1432.0,,597.0,,,,,133.0,
27,20200331,CA,7482,21772,86654,29254,29254,06,20.0,0.0,1223.0,1035.0,2258.0,57400.0,1617.0,,657.0,,,,,153.0,
28,20200401,CA,8155,21772,87327,29927,29927,06,18.0,0.0,0.0,673.0,673.0,57400.0,1855.0,,774.0,,,,,171.0,
29,20200402,CA,9191,23809,92500,33000,33000,06,32.0,0.0,2037.0,1036.0,3073.0,59500.0,1922.0,,816.0,,,,,203.0,
30,20200403,CA,10701,24599,94800,35300,35300,06,34.0,0.0,790.0,1510.0,2300.0,59500.0,2188.0,,901.0,,,,,237.0,
31,20200404,CA,12026,101674,126700,113700,113700,06,39.0,0.0,77075.0,1325.0,78400.0,13000.0,2300.0,,1008.0,,,,,276.0,
32,20200405,CA,13438,103095,131533,116533,116533,06,43.0,0.0,1421.0,1412.0,2833.0,15000.0,2398.0,,1040.0,,,,,319.0,
33,20200406,CA,14336,103095,132431,117431,117431,06,24.0,0.0,0.0,898.0,898.0,15000.0,2509.0,,1085.0,,,,,343.0,
34,20200407,CA,15865,115364,145329,131229,131229,06,31.0,0.0,12269.0,1529.0,13798.0,14100.0,2611.0,,1108.0,,,,,374.0,
35,20200408,CA,16957,127307,158864,144264,144264,06,68.0,0.0,11943.0,1092.0,13035.0,14600.0,2714.0,,1154.0,,,,,442.0,
36,20200409,CA,18309,145191,177600,163500,163500,06,50.0,0.0,17884.0,1352.0,19236.0,14100.0,2825.0,,1132.0,,,,,492.0,
37,20200410,CA,19472,145391,178763,164863,164863,06,49.0,0.0,200.0,1163.0,1363.0,13900.0,2897.0,,1145.0,,,,,541.0,
38,20200411,CA,19472,152604,185276,172076,172076,06,0.0,0.0,7213.0,0.0,7213.0,13200.0,5236.0,,1591.0,,,,,541.0,
