,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalized,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death
0,20200307,HI,1,1,1,1,15,,,,,,,,,,,,,,,,
1,20200308,HI,1,1,1,1,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200309,HI,2,2,2,2,15,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
3,20200310,HI,2,2,2,2,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,20200311,HI,2,2,2,2,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200312,HI,2,2,2,2,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
6,20200313,HI,2,2,2,2,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,20200314,HI,2,2,2,2,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,20200315,HI,2,2,2,2,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9,20200316,HI,7,7,7,7,15,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,
10,20200317,HI,10,10,10,10,15,0.0,0.0,0.0,3.0,3.0,,,,,,,,,,,
11,20200318,HI,14,107,107,107,15,0.0,0.0,93.0,4.0,97.0,93.0,,,,,,,,,,
12,20200319,HI,16,109,109,109,15,0.0,0.0,0.0,2.0,2.0,93.0,,,,,,,,,,
13,20200320,HI,26,150,150,150,15,0.0,0.0,31.0,10.0,41.0,124.0,,,,,,,,,,
14,20200321,HI,37,161,161,161,15,0.0,0.0,0.0,11.0,11.0,124.0,,,,,,,,,,
15,20200322,HI,48,311,311,311,15,0.0,0.0,139.0,11.0,150.0,263.0,,,,,,,,,,
16,20200323,HI,56,3011,3011,3011,15,0.0,0.0,2692.0,8.0,2700.0,2955.0,,,,,,,,,,
17,20200324,HI,77,3666,3666,3666,15,0.0,4.0,634.0,21.0,655.0,3589.0,,,4.0,4.0,,,,,,
18,20200325,HI,90,4447,4447,4447,15,0.0,2.0,768.0,13.0,781.0,4357.0,,,6.0,6.0,,,,,,
19,20200326,HI,95,4452,4452,4452,15,0.0,-1.0,0.0,5.0,5.0,4357.0,,,5.0,5.0,,,,,,
20,20200327,HI,106,4463,4463,4463,15,0.0,2.0,0.0,11.0,11.0,4357.0,,,7.0,7.0,,,,,,
21,20200328,HI,120,4477,4477,4477,15,0.0,1.0,0.0,14.0,14.0,4357.0,,,8.0,8.0,,,,,,
22,20200329,HI,151,7000,7000,7000,15,0.0,4.0,2492.0,31.0,2523.0,6849.0,,,12.0,12.0,,,,,,
23,20200330,HI,175,8000,8000,8000,15,0.0,0.0,976.0,24.0,1000.0,7825.0,,,12.0,12.0,,,,,,
24,20200331,HI,204,8675,8675,8675,15,0.0,0.0,646.0,29.0,675.0,8471.0,,,12.0,12.0,,6.0,,,49.0,
25,20200401,HI,208,8929,8929,8929,15,1.0,1.0,250.0,4.0,254.0,8721.0,,,13.0,13.0,,6.0,,,58.0,1.0
26,20200402,HI,258,10464,10464,10464,15,0.0,2.0,1485.0,50.0,1535.0,10206.0,,,15.0,15.0,,6.0,,,69.0,1.0
27,20200403,HI,285,10491,10491,10491,15,1.0,0.0,0.0,27.0,27.0,10206.0,,,15.0,15.0,,6.0,,,72.0,2.0
28,20200404,HI,319,12278,12278,12278,15,1.0,3.0,1753.0,34.0,1787.0,11959.0,,,18.0,18.0,,6.0,,,78.0,3.0
29,20200405,HI,351,12955,12955,12955,15,1.0,1.0,645.0,32.0,677.0,12604.0,,,19.0,19.0,,6.0,,,82.0,4.0
30,20200406,HI,371,13526,13526,13526,15,0.0,2.0,551.0,20.0,571.0,13155.0,,,21.0,21.0,,6.0,,,85.0,4.0
31,20200407,HI,387,13542,13542,13542,15,1.0,5.0,0.0,16.0,16.0,13155.0,,,26.0,26.0,,6.0,,,89.0,5.0
32,20200408,HI,410,15149,15149,15149,15,0.0,16.0,1584.0,23.0,1607.0,14739.0,,,42.0,42.0,,6.0,,,113.0,5.0
33,20200409,HI,435,15751,15751,15751,15,0.0,0.0,577.0,25.0,602.0,15316.0,,,42.0,42.0,,6.0,,,113.0,5.0
34,20200410,HI,442,16149,16149,16149,15,1.0,0.0,391.0,7.0,398.0,15707.0,,,42.0,42.0,,6.0,,2.0,251.0,6.0
35,20200411,HI,465,17531,17531,17531,15,2.0,1.0,1359.0,23.0,1382.0,17066.0,,,43.0,43.0,,6.0,,2.0,284.0,8.0
