,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalized,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death
0,20200306,IA,0,15,2.0,17,15,15,19,,,,,,,,,,,,,,
1,20200307,IA,0,15,2.0,17,15,15,19,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,20200308,IA,0,15,2.0,17,15,15,19,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,20200309,IA,3,26,8.0,37,29,29,19,0.0,0.0,11.0,3.0,14.0,,,,,,,,,
4,20200310,IA,8,32,11.0,51,40,40,19,0.0,0.0,6.0,5.0,11.0,,,,,,,,,
5,20200311,IA,13,46,27.0,86,59,59,19,0.0,0.0,14.0,5.0,19.0,,,,,,,,,
6,20200312,IA,14,67,24.0,105,81,81,19,0.0,0.0,21.0,1.0,22.0,,,,,,,,,
7,20200313,IA,16,83,29.0,128,99,99,19,0.0,0.0,16.0,2.0,18.0,,,,,,,,,
8,20200314,IA,17,83,,100,100,100,19,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
9,20200315,IA,18,83,,101,101,101,19,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
10,20200316,IA,22,83,,105,105,105,19,0.0,0.0,0.0,4.0,4.0,,,,,,,,,
11,20200317,IA,23,83,,106,106,106,19,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
12,20200318,IA,29,83,,112,112,112,19,0.0,0.0,0.0,6.0,6.0,,,,,,,,,
13,20200319,IA,38,83,,121,121,121,19,0.0,0.0,0.0,9.0,9.0,,,,,,,,,
14,20200320,IA,45,642,,687,687,687,19,0.0,0.0,559.0,7.0,566.0,,,,,,,,,
15,20200321,IA,68,1049,,1117,1117,1117,19,0.0,0.0,407.0,23.0,430.0,,,,,,,,,
16,20200322,IA,90,1215,,1305,1305,1305,19,0.0,0.0,166.0,22.0,188.0,,,,,,,,,
17,20200323,IA,105,2043,,2148,2148,2148,19,0.0,0.0,828.0,15.0,843.0,,,,,,,,,
18,20200324,IA,124,2315,,2439,2439,2439,19,0.0,27.0,272.0,19.0,291.0,,27.0,27.0,,,,,,
19,20200325,IA,145,2578,,2723,2723,2723,19,1.0,9.0,263.0,21.0,284.0,23.0,36.0,36.0,,,,,,1.0
20,20200326,IA,179,2578,,2757,2757,2757,19,0.0,10.0,0.0,34.0,34.0,31.0,46.0,46.0,,,,,15.0,1.0
21,20200327,IA,235,3740,,3975,3975,3975,19,2.0,4.0,1162.0,56.0,1218.0,32.0,50.0,50.0,,,,,18.0,3.0
22,20200328,IA,298,4375,,4673,4673,4673,19,0.0,11.0,635.0,63.0,698.0,46.0,61.0,61.0,,,,,15.0,3.0
23,20200329,IA,336,5013,,5349,5349,5349,19,1.0,7.0,638.0,38.0,676.0,51.0,68.0,68.0,,,,,17.0,4.0
24,20200330,IA,424,6162,,6586,6586,6586,19,2.0,6.0,1149.0,88.0,1237.0,51.0,74.0,74.0,,,,,23.0,6.0
25,20200331,IA,497,6888,,7385,7385,7385,19,1.0,20.0,726.0,73.0,799.0,61.0,94.0,94.0,,,,,33.0,7.0
26,20200401,IA,549,7304,,7853,7853,7853,19,2.0,5.0,416.0,52.0,468.0,63.0,99.0,99.0,,,,,118.0,9.0
27,20200402,IA,614,8054,,8668,8668,8668,19,2.0,21.0,750.0,65.0,815.0,74.0,120.0,120.0,,,,,46.0,11.0
28,20200403,IA,699,8754,,9453,9453,9453,19,0.0,18.0,700.0,85.0,785.0,80.0,138.0,138.0,,,,,188.0,11.0
29,20200404,IA,786,9454,,10240,10240,10240,19,3.0,15.0,700.0,87.0,787.0,85.0,153.0,153.0,,,,,188.0,14.0
30,20200405,IA,868,9973,,10841,10841,10841,19,8.0,12.0,519.0,82.0,601.0,91.0,165.0,165.0,,,,,188.0,22.0
31,20200406,IA,946,10653,,11599,11599,11599,19,3.0,14.0,680.0,78.0,758.0,99.0,179.0,179.0,,,,,284.0,25.0
32,20200407,IA,1048,11670,,12718,12718,12718,19,1.0,14.0,1017.0,102.0,1119.0,104.0,193.0,193.0,,,,,341.0,26.0
33,20200408,IA,1145,12821,,13966,13966,13966,19,1.0,0.0,1151.0,97.0,1248.0,122.0,193.0,193.0,,,,,431.0,27.0
34,20200409,IA,1270,13703,,14973,14973,14973,19,2.0,0.0,882.0,125.0,1007.0,122.0,,,,,,,476.0,29.0
35,20200410,IA,1388,14565,,15953,15953,15953,19,2.0,0.0,862.0,118.0,980.0,125.0,,,55.0,,30.0,,506.0,31.0
36,20200411,IA,1510,15622,,17132,17132,17132,19,3.0,0.0,1057.0,122.0,1179.0,118.0,,,55.0,,30.0,,585.0,34.0
