,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalized,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death
0,20200307,MT,0,11,11,11,11,30,,,,,,,,,,,,,,,
1,20200308,MT,0,11,11,11,11,30,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,20200309,MT,0,11,11,11,11,30,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
3,20200310,MT,0,15,15,15,15,30,0.0,0.0,4.0,0.0,4.0,,,,,,,,,,
4,20200311,MT,0,21,21,21,21,30,0.0,0.0,6.0,0.0,6.0,,,,,,,,,,
5,20200312,MT,1,34,35,35,35,30,0.0,0.0,13.0,1.0,14.0,,,,,,,,,,
6,20200313,MT,1,55,56,56,56,30,0.0,0.0,21.0,0.0,21.0,,,,,,,,,,
7,20200314,MT,5,103,108,108,108,30,0.0,0.0,48.0,4.0,52.0,,,,,,,,,,
8,20200315,MT,7,103,167,110,110,30,0.0,0.0,0.0,2.0,2.0,57.0,,,,,,,,,
9,20200316,MT,7,198,205,205,205,30,0.0,0.0,95.0,0.0,95.0,,,,,,,,,,
10,20200317,MT,8,303,311,311,311,30,0.0,0.0,105.0,1.0,106.0,,,,,,,,,,
11,20200318,MT,10,499,509,509,509,30,0.0,0.0,196.0,2.0,198.0,,,,,,,,,,
12,20200319,MT,12,761,773,773,773,30,0.0,0.0,262.0,2.0,264.0,,,,,,,,,,
13,20200320,MT,16,931,947,947,947,30,0.0,0.0,170.0,4.0,174.0,,,,,,,,,,
14,20200321,MT,20,1146,1166,1166,1166,30,0.0,0.0,215.0,4.0,219.0,,,,,,,,,,
15,20200322,MT,31,1146,1177,1177,1177,30,0.0,0.0,0.0,11.0,11.0,,,,,,,,,,
16,20200323,MT,34,1146,1180,1180,1180,30,0.0,0.0,0.0,3.0,3.0,,,,,,,,,,
17,20200324,MT,46,1643,1689,1689,1689,30,0.0,0.0,497.0,12.0,509.0,,,,,,,,,,
18,20200325,MT,53,1948,2001,2001,2001,30,0.0,0.0,305.0,7.0,312.0,,,,,,,,,,
19,20200326,MT,71,2128,2199,2199,2199,30,0.0,1.0,180.0,18.0,198.0,,,1.0,1.0,,,,,,
20,20200327,MT,108,2590,2698,2698,2698,30,0.0,6.0,462.0,37.0,499.0,,,7.0,7.0,,,,,,
21,20200328,MT,129,3256,3385,3385,3385,30,1.0,0.0,666.0,21.0,687.0,,,7.0,7.0,,,,,,1.0
22,20200329,MT,154,4143,4297,4297,4297,30,0.0,1.0,887.0,25.0,912.0,,,8.0,8.0,,,,,,1.0
23,20200330,MT,171,4143,4314,4314,4314,30,3.0,2.0,0.0,17.0,17.0,,,10.0,10.0,,,,,,4.0
24,20200331,MT,184,4234,4418,4418,4418,30,0.0,4.0,91.0,13.0,104.0,,,14.0,14.0,,,,,,4.0
25,20200401,MT,208,4710,4918,4918,4918,30,1.0,3.0,476.0,24.0,500.0,,,17.0,17.0,,,,,,5.0
26,20200402,MT,227,5093,5320,5320,5320,30,0.0,3.0,383.0,19.0,402.0,,,20.0,20.0,,,,,,5.0
27,20200403,MT,243,5333,5576,5576,5576,30,0.0,4.0,240.0,16.0,256.0,,,24.0,24.0,,,,,,5.0
28,20200404,MT,265,5912,6177,6177,6177,30,0.0,0.0,579.0,22.0,601.0,,,24.0,24.0,,,,,,5.0
29,20200405,MT,286,6317,6603,6603,6603,30,1.0,0.0,405.0,21.0,426.0,,,24.0,24.0,,,,,,6.0
30,20200406,MT,299,6491,6790,6790,6790,30,0.0,0.0,174.0,13.0,187.0,,,24.0,24.0,,,,,,6.0
31,20200407,MT,319,6666,6985,6985,6985,30,0.0,4.0,175.0,20.0,195.0,,,28.0,28.0,,,,,,6.0
32,20200408,MT,332,7066,7398,7398,7398,30,0.0,3.0,400.0,13.0,413.0,,,31.0,31.0,,,,,135.0,6.0
33,20200409,MT,354,7506,7860,7860,7860,30,0.0,5.0,440.0,22.0,462.0,,13.0,36.0,36.0,,,,,157.0,6.0
34,20200410,MT,365,7932,8297,8297,8297,30,0.0,5.0,426.0,11.0,437.0,,29.0,41.0,41.0,,,,,165.0,6.0
35,20200411,MT,377,8204,8581,8581,8581,30,0.0,5.0,272.0,12.0,284.0,,21.0,46.0,46.0,,,,,169.0,6.0
