,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hospitalized,death
0,20200316,VI,1,1,1,1,78,,,,,,,,,,,,,,,,
1,20200317,VI,2,2,2,2,78,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
2,20200318,VI,2,2,2,2,78,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200319,VI,3,3,3,3,78,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
4,20200320,VI,3,3,3,3,78,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200321,VI,6,6,6,6,78,0.0,0.0,0.0,3.0,3.0,,,,,,,,,,,
6,20200322,VI,6,6,6,6,78,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,20200323,VI,17,17,17,17,78,0.0,0.0,0.0,11.0,11.0,,,,,,,,,,,
8,20200324,VI,17,17,17,17,78,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9,20200325,VI,17,74,72,72,78,0.0,0.0,55.0,0.0,55.0,55.0,2.0,,,,,,,,,
10,20200326,VI,17,74,72,72,78,0.0,0.0,0.0,0.0,0.0,55.0,2.0,,,,,,,,,
11,20200327,VI,19,76,74,74,78,0.0,0.0,0.0,2.0,2.0,55.0,2.0,,,,,,,,,
12,20200328,VI,22,183,128,128,78,0.0,0.0,51.0,3.0,54.0,106.0,55.0,,,,,,,,,
13,20200329,VI,23,183,146,146,78,0.0,0.0,17.0,1.0,18.0,123.0,37.0,,,,,,,,,
14,20200330,VI,30,180,156,156,78,0.0,0.0,3.0,7.0,10.0,126.0,24.0,,,,,,,,,
15,20200331,VI,30,180,156,156,78,0.0,0.0,0.0,0.0,0.0,126.0,24.0,,,,,,,21.0,,
16,20200401,VI,30,180,156,156,78,0.0,0.0,0.0,0.0,0.0,126.0,24.0,,,,,,,21.0,,
17,20200402,VI,33,224,182,182,78,0.0,0.0,23.0,3.0,26.0,149.0,42.0,,,,,,,25.0,,
18,20200403,VI,38,248,192,192,78,0.0,0.0,5.0,5.0,10.0,154.0,56.0,,,,,,,29.0,,
19,20200404,VI,40,266,224,224,78,0.0,0.0,30.0,2.0,32.0,184.0,42.0,,,,,,,34.0,,
20,20200405,VI,42,266,248,248,78,1.0,0.0,22.0,2.0,24.0,206.0,18.0,,,,,,,34.0,,1.0
21,20200406,VI,43,285,265,265,78,0.0,0.0,16.0,1.0,17.0,222.0,20.0,,,,,,,36.0,,1.0
22,20200407,VI,43,285,265,265,78,0.0,0.0,0.0,0.0,0.0,222.0,20.0,,,,,,,36.0,,1.0
23,20200408,VI,45,322,287,287,78,0.0,0.0,20.0,2.0,22.0,242.0,35.0,,,,,,,39.0,,1.0
24,20200409,VI,46,339,297,297,78,0.0,0.0,9.0,1.0,10.0,251.0,42.0,,,,,,,39.0,,1.0
25,20200410,VI,50,368,323,323,78,0.0,0.0,22.0,4.0,26.0,273.0,45.0,3.0,,,,,,43.0,,1.0
26,20200411,VI,51,370,350,350,78,0.0,0.0,26.0,1.0,27.0,299.0,20.0,3.0,,,,,,43.0,,1.0
