,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,20200228,WA,9,,,,,,,,,,4,,9,9,9,53,,,,,
1,20200229,WA,18,,,,,,,,,,5,,18,18,18,53,1.0,0.0,0.0,9.0,9.0
2,20200301,WA,30,,,,,,,,,,8,,30,30,30,53,3.0,0.0,0.0,12.0,12.0
3,20200302,WA,34,,,,,,,,,,11,,34,34,34,53,3.0,0.0,0.0,4.0,4.0
4,20200303,WA,58,,,,,,,,,,14,,58,58,58,53,3.0,0.0,0.0,24.0,24.0
5,20200304,WA,76,,,,,,,,,,16,,76,76,76,53,2.0,0.0,0.0,18.0,18.0
6,20200305,WA,96,,,,,,,,,,20,,96,96,96,53,4.0,0.0,0.0,20.0,20.0
7,20200306,WA,149,370.0,,,,,,,,,26,,519,519,519,53,6.0,0.0,370.0,53.0,423.0
8,20200307,WA,181,370.0,66.0,,,,,,,,27,,617,551,551,53,1.0,0.0,0.0,32.0,32.0
9,20200308,WA,246,640.0,60.0,,,,,,,,31,,946,886,886,53,4.0,0.0,270.0,65.0,335.0
10,20200309,WA,343,1110.0,,,,,,,,,35,,1453,1453,1453,53,4.0,0.0,470.0,97.0,567.0
11,20200310,WA,390,1110.0,,,,,,,,,37,,1500,1500,1500,53,2.0,0.0,0.0,47.0,47.0
12,20200311,WA,474,2175.0,,,,,,,,,40,,2649,2649,2649,53,3.0,0.0,1065.0,84.0,1149.0
13,20200312,WA,543,3037.0,,,,,,,,,44,,3580,3580,3580,53,4.0,0.0,862.0,69.0,931.0
14,20200313,WA,693,4350.0,,,,,,,,,47,,5043,5043,5043,53,3.0,0.0,1313.0,150.0,1463.0
15,20200314,WA,793,6001.0,,,,,,,,,51,,6794,6794,6794,53,4.0,0.0,1651.0,100.0,1751.0
16,20200315,WA,924,7122.0,,,,,,,,,56,,8046,8046,8046,53,5.0,0.0,1121.0,131.0,1252.0
17,20200316,WA,1052,9451.0,,,,,,,,,68,,10503,10503,10503,53,12.0,0.0,2329.0,128.0,2457.0
18,20200317,WA,1218,11582.0,,,,,,,,,77,,12800,12800,12800,53,9.0,0.0,2131.0,166.0,2297.0
19,20200318,WA,1388,13117.0,,,,,,,,,81,,14505,14505,14505,53,4.0,0.0,1535.0,170.0,1705.0
20,20200319,WA,1535,15918.0,,,,,,,,,91,,17453,17453,17453,53,10.0,0.0,2801.0,147.0,2948.0
21,20200320,WA,1773,19336.0,,,,,,,,,102,,21109,21109,21109,53,11.0,0.0,3418.0,238.0,3656.0
22,20200321,WA,2006,21719.0,,,,,,,,,108,,23725,23725,23725,53,6.0,0.0,2383.0,233.0,2616.0
23,20200322,WA,2242,25328.0,,,,,,,,,122,,27570,27570,27570,53,14.0,0.0,3609.0,236.0,3845.0
24,20200323,WA,2450,28879.0,,,,,,,,,133,,31329,31329,31329,53,11.0,0.0,3551.0,208.0,3759.0
25,20200324,WA,2823,31712.0,,,,,,,,,142,,34535,34535,34535,53,9.0,0.0,2833.0,373.0,3206.0
26,20200325,WA,3275,31712.0,,,,,,,,,155,,34987,34987,34987,53,13.0,0.0,0.0,452.0,452.0
27,20200326,WA,3745,31712.0,,,,,,,,,177,,35457,35457,35457,53,22.0,0.0,0.0,470.0,470.0
28,20200327,WA,4238,43173.0,,,,,,,,,191,,47411,47411,47411,53,14.0,0.0,11461.0,493.0,11954.0
29,20200328,WA,4707,49015.0,,,,,,,,,211,,53722,53722,53722,53,20.0,0.0,5842.0,469.0,6311.0
30,20200329,WA,5102,54896.0,,,,,,,,,228,,59998,59998,59998,53,17.0,0.0,5881.0,395.0,6276.0
31,20200330,WA,5566,60566.0,,,,,,,,,239,,66132,66132,66132,53,11.0,0.0,5670.0,464.0,6134.0
32,20200331,WA,6030,60566.0,,,,,,,,,252,,66596,66596,66596,53,13.0,0.0,0.0,464.0,464.0
33,20200401,WA,6593,60566.0,,,,,,,,,270,,67159,67159,67159,53,18.0,0.0,0.0,563.0,563.0
34,20200402,WA,6962,68814.0,,,,,,,,,296,,75776,75776,75776,53,26.0,0.0,8248.0,369.0,8617.0
35,20200403,WA,7548,72833.0,,,,,,,,,325,,80381,80381,80381,53,29.0,0.0,4019.0,586.0,4605.0
36,20200404,WA,7934,75633.0,,574.0,,174.0,,,,,345,,83567,83567,83567,53,20.0,0.0,2800.0,386.0,3186.0
37,20200405,WA,8332,80327.0,,581.0,,178.0,,,,,365,,88659,88659,88659,53,20.0,0.0,4694.0,398.0,5092.0
38,20200406,WA,8679,83391.0,,638.0,,191.0,,,,,378,,92070,92070,92070,53,13.0,0.0,3064.0,347.0,3411.0
39,20200407,WA,9043,83391.0,,641.0,,190.0,,,,,393,,92434,92434,92434,53,15.0,0.0,0.0,364.0,364.0
40,20200408,WA,9506,83391.0,,655.0,,186.0,,,,,446,,92897,92897,92897,53,53.0,0.0,0.0,463.0,463.0
41,20200409,WA,9769,83391.0,,650.0,,191.0,,,,,446,,93160,93160,93160,53,0.0,0.0,0.0,263.0,263.0
42,20200410,WA,10224,83391.0,,642.0,,191.0,,,,,446,,93615,93615,93615,53,0.0,0.0,0.0,455.0,455.0
43,20200411,WA,10224,83391.0,,649.0,,191.0,,,,,491,,93615,93615,93615,53,45.0,0.0,0.0,0.0,0.0
